2020-02-08 16:42:09.7089 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 29377.3004ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:42:09.7089 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-08 16:42:09.7089 | INFO | Request finished in 29538.005ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-08 16:43:33.9807 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-08 16:43:34.4745 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-08 16:43:34.5715 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-08 16:43:34.5715 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:43:40.5447 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:43:40.5447 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-08 16:43:40.5447 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 1.7066ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
