2020-02-05 11:07:58.6421 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-05 11:07:59.0936 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-05 11:07:59.1566 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.1811 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.2764 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.2764 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.2820 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 1.3119ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.2820 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.3730 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 188.1445ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.3730 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:07:59.3730 | INFO | Request finished in 285.465ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-05 11:08:08.1921 | INFO | Request starting HTTP/1.1 GET https://localhost:44394/api/values/5   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/5 | action: 
2020-02-05 11:08:08.1921 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2133 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2614 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2636 | ERROR | call get with id by id___test log error |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2636 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 2.0665ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2636 | INFO | Executing ObjectResult, writing value of type 'System.String'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2636 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 53.2522ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2636 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:08.2636 | INFO | Request finished in 75.4617ms 200 text/plain; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/5 | action: Get
2020-02-05 11:08:13.7850 | INFO | Request starting HTTP/1.1 GET https://localhost:44394/api/values/6   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/6 | action: 
2020-02-05 11:08:13.7850 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.7850 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.8173 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.8173 | ERROR | call get with id by id___test log error |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.8173 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 0.2611ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.8173 | INFO | Executing ObjectResult, writing value of type 'System.String'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.8173 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 32.022ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.8173 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:08:13.8173 | INFO | Request finished in 34.181ms 200 text/plain; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/6 | action: Get
2020-02-05 11:55:43.4031 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-05 11:55:44.0652 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-05 11:55:44.1107 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.1343 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.2436 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.2436 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.2484 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 1.304ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.2484 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.3183 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 181.1898ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.3183 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:55:44.3183 | INFO | Request finished in 257.6452ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-05 11:55:52.0870 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/swagger   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: 
2020-02-05 11:55:52.0870 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:55:52.1094 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:55:52.1659 | INFO | Executing ObjectResult, writing value of type 'Microsoft.AspNetCore.Mvc.ValidationProblemDetails'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:55:52.1852 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 75.3961ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:55:52.1852 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:55:52.1852 | INFO | Request finished in 98.8319ms 400 application/problem+json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:56:00.2994 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/swagger/index   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger/index | action: 
2020-02-05 11:56:47.5235 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-05 11:56:48.0386 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-05 11:56:48.0902 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.1038 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.2075 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.2075 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.2075 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 2.0152ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.2275 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.2945 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 188.2117ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.2945 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:56:48.2945 | INFO | Request finished in 261.096ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-05 11:56:53.4098 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/swagger   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: 
2020-02-05 11:56:53.4098 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:56:53.4338 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:56:53.4485 | INFO | Executing ObjectResult, writing value of type 'Microsoft.AspNetCore.Mvc.ValidationProblemDetails'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:56:53.4664 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 32.2808ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:56:53.4664 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:56:53.4664 | INFO | Request finished in 56.9709ms 400 application/problem+json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:58:43.3318 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-05 11:58:43.9067 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-05 11:58:43.9847 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.0129 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.1435 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.1435 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.1435 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 2.031ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.1622 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.2335 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 216.8374ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.2335 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:58:44.2335 | INFO | Request finished in 333.278ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-05 11:58:49.3255 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/swagger   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: 
2020-02-05 11:58:49.3255 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:58:49.3255 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:58:49.3633 | INFO | Executing ObjectResult, writing value of type 'Microsoft.AspNetCore.Mvc.ValidationProblemDetails'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:58:49.3810 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 40.8413ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:58:49.3810 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:58:49.3810 | INFO | Request finished in 55.9686ms 400 application/problem+json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:59:40.2811 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-05 11:59:40.7738 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-05 11:59:40.8853 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:59:40.8971 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:59:41.0062 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:59:41.0062 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-05 11:59:41.0062 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 1.4273ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:59:41.0342 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
2020-02-05 11:59:41.0974 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 197.2052ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 11:59:41.0974 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 11:59:41.0974 | INFO | Request finished in 329.0488ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-05 11:59:46.2404 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/swagger   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: 
2020-02-05 11:59:46.2404 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:59:46.2548 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:59:46.2716 | INFO | Executing ObjectResult, writing value of type 'Microsoft.AspNetCore.Mvc.ValidationProblemDetails'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:59:46.3014 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 46.294ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:59:46.3014 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:59:46.3014 | INFO | Request finished in 61.556ms 400 application/problem+json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger | action: Get
2020-02-05 11:59:50.4228 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/swagger/index   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger/index | action: 
2020-02-05 11:59:50.4228 | INFO | Request finished in 6.7891ms 404  |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/swagger/index | action: 
2020-02-05 11:59:50.4764 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/favicon.ico   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/favicon.ico | action: 
2020-02-05 11:59:50.4764 | INFO | Request finished in 0.3113ms 0  |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/favicon.ico | action: 
2020-02-05 12:04:33.6253 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-05 12:04:34.1169 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-05 12:04:34.2071 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-05 12:04:34.2184 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 12:04:34.3362 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 12:04:34.3362 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-05 12:04:34.3425 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 1.7817ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-05 12:04:34.3594 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
